interval_id,interval_start_step_idx,interval_end_step_idx,interval_t_start_sec,interval_n_steps,L_e_pendulum_angle,L_e_cart_position,L_edot_pendulum_angle,L_edot_cart_position,L_delta_u_pendulum_angle,L_delta_u_cart_position,principal_gate_L_edot_pendulum_angle,principal_gate_L_edot_cart_position,principal_gate_L_delta_u_pendulum_angle,principal_gate_L_delta_u_cart_position,principal_contribution_L_edot_pendulum_angle,principal_contribution_L_edot_cart_position,principal_contribution_L_delta_u_pendulum_angle,principal_contribution_L_delta_u_cart_position,error_pendulum_angle_mean_squared,error_cart_position_mean_squared,derivative_error_pendulum_angle_mean_squared,derivative_error_cart_position_mean_squared,delta_u_eff_pendulum_angle_mean_squared,delta_u_eff_cart_position_mean_squared,integral_error_pendulum_angle_mean_squared,integral_error_cart_position_mean_squared,action_kp_pendulum_angle,action_ki_pendulum_angle,action_kd_pendulum_angle,action_kp_cart_position,action_ki_cart_position,action_kd_cart_position,global_interval_reward,reward_kp_pendulum_angle,reward_ki_pendulum_angle,reward_kd_pendulum_angle,reward_kp_cart_position,reward_ki_cart_position,reward_kd_cart_position,extra_penalty_instantaneous_pendulum_angle,extra_penalty_instantaneous_cart_position,extra_penalty_pendulum_angle,extra_penalty_cart_position,extra_bonus_goal_pendulum_angle,extra_bonus_goal_cart_position,extra_bonus_band_pendulum_angle,extra_bonus_band_cart_position,extra_conditional_dynamic_penalty_pendulum_angle,extra_conditional_dynamic_penalty_cart_position,extra_conditional_dynamic_incentive_pendulum_angle,extra_conditional_dynamic_incentive_cart_position,extra_conditional_dynamic_incentive_tracking_pendulum_angle,extra_conditional_dynamic_incentive_tracking_cart_position,extra_conditional_dynamic_incentive_capture_pendulum_angle,extra_conditional_dynamic_incentive_capture_cart_position,extra_conditional_dynamic_incentive_direction_pendulum_angle,extra_conditional_dynamic_incentive_direction_cart_position,extra_conditional_dynamic_incentive_effort_pendulum_angle,extra_conditional_dynamic_incentive_effort_cart_position,extra_total_pendulum_angle,extra_total_cart_position,assigned_reward_pendulum_angle,principal_loop_pendulum_angle,assigned_reward_cart_position,principal_loop_cart_position,mean_abs_error_pendulum_angle,mean_abs_control_action_pendulum_angle,mean_abs_error_cart_position,mean_abs_control_action_cart_position,principal_total_rebuilt,extras_total_rebuilt,global_reward_rebuilt
0.0,0.0,19.0,0.0,20.0,0.14994412691282893,2.015745813704341e-05,0.0023380244553915194,0.0032203960282133144,0.0017597110591805773,3.1051956699358025e-08,0.029807166231302116,0.65,,,-2.3462762477333053e-08,-9.707119136357357e-07,,,,,,,0.0017597110591805773,3.1051956699358025e-08,,,2.0,2.0,0.0,2.0,2.0,0.0,-0.11964687226495896,-0.11964585866856885,-0.11964585866856885,-0.11964585866856885,-1.0135963901201086e-06,-1.0135963901201086e-06,-1.0135963901201086e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002723337312229346,0.0,0.0,0.0,0.002723337312229346,0.0,0.0,0.0,0.0,0.0,0.005446674624458692,0.0,-0.11964585866856885,-0.12509253329302755,-1.0135963901201086e-06,-1.0135963901201086e-06,0.1424449710008833,0.18184260224596294,1.2656047613446298e-05,0.0014775013418257866,-0.12509354688941768,0.005446674624458692,-0.11964687226495899
1.0,20.0,39.0,0.02,20.0,0.1500524646779,0.00012159065400017408,0.004468316274932669,0.009737347228913317,6.90071774306311e-05,5.5394117388666653e-08,0.029656180939885948,0.65,,,-8.526243318031456e-08,-8.874013867241626e-06,,,,,,,6.90071774306311e-05,5.5394117388666653e-08,,,2.0,2.0,0.0,1.0,2.0,1.0,-0.11920007382355621,-0.11919077684259344,-0.11919077684259344,-0.11919077684259344,-9.296980962783975e-06,-9.296980962783975e-06,-9.296980962783975e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033434148148928375,0.0,0.0,0.0,0.0033434148148928375,0.0,0.0,0.0,0.0,0.0,0.006686829629785675,0.0,-0.11919077684259344,-0.1258776064723791,-9.296980962783975e-06,-9.296980962783975e-06,0.1500457594458649,0.23319335791182771,0.00010542312839814105,0.0056000494697436756,-0.1258869034533419,0.006686829629785675,-0.11920007382355621
2.0,40.0,59.0,0.04,20.0,0.15017528808768033,0.00034272443411655665,0.003313716430205406,0.017966007145608868,7.061217646931488e-05,8.292185206797863e-08,0.029485801693177754,0.65,,,-4.662317257733684e-08,-3.020319096729685e-05,,,,,,,7.061217646931488e-05,8.292185206797863e-08,,,2.0,2.0,0.0,1.0,2.0,1.0,-0.11881403373316815,-0.11878222693302733,-0.11878222693302733,-0.11878222693302733,-3.180680014082937e-05,-3.180680014082937e-05,-3.180680014082937e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003938998053741162,0.0,0.0,0.0,0.003938998053741162,0.0,0.0,0.0,0.0,0.0,0.007877996107482323,0.0,-0.11878222693302733,-0.12666022304050964,-3.180680014082937e-05,-3.180680014082937e-05,0.1501705203765163,0.27517826010822694,0.00031824965986796403,0.01080222595940378,-0.12669202984065048,0.007877996107482323,-0.11881403373316815
3.0,60.0,79.0,0.06,20.0,0.15023786610535123,0.0006997705706691421,0.0017432251820490884,0.02621831858555348,7.644182509044327e-05,6.532075007962345e-08,0.02939931764214411,0.65,,,-1.2864873992657762e-08,-6.430087288204245e-05,,,,,,,7.644182509044327e-05,6.532075007962345e-08,,,0.0,0.0,2.0,1.0,1.0,1.0,-0.11942663354156911,-0.11935837419431637,-0.11935837419431637,-0.11935837419431637,-6.825934725275662e-05,-6.825934725275662e-05,-6.825934725275662e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003457138178170063,0.0,0.0,0.0,0.003457138178170063,0.0,0.0,0.0,0.0,0.0,0.006914276356340126,0.0,-0.11935837419431637,-0.1262726505506565,-6.825934725275662e-05,-6.825934725275662e-05,0.15023526933238918,0.2442395110186893,0.0006682409077451434,0.016311080323795014,-0.12634090989790928,0.006914276356340126,-0.11942663354156915
4.0,80.0,99.0,0.08,20.0,0.15028609275908617,0.001184073262967211,0.0012203980366558573,0.03429908605440749,8.032702000254535e-05,2.1062002737730894e-06,0.029332816078974134,0.65,,,-6.290985289984454e-09,-0.00010999709134347003,,,,,,,8.032702000254535e-05,2.1062002737730894e-06,,,2.0,2.0,0.0,1.0,1.0,2.0,-0.11892589762370029,-0.11880404305415596,-0.11880404305415596,-0.11880404305415596,-0.00012185456954432029,-0.00012185456954432029,-0.00012185456954432029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00408549666968908,0.0,0.0,0.0,0.00408549666968908,0.0,0.0,0.0,0.0,0.0,0.00817099333937816,0.0,-0.11880404305415596,-0.1269750363935341,-0.00012185456954432029,-0.00012185456954432029,0.15028460598428395,0.28493520454913973,0.0011459992266128816,0.028211371962712152,-0.12709689096307844,0.00817099333937816,-0.11892589762370027
5.0,100.0,119.0,0.1,20.0,0.15029022190641336,0.0018022527830538516,0.0002154703675322071,0.04252122544460842,5.677087725390786e-05,2.788560165796917e-06,0.029327128246330048,0.65,,,-1.960681798923761e-10,-0.00016895882457102076,,,,,,,5.677087725390786e-05,2.788560165796917e-06,,,0.0,2.0,2.0,1.0,1.0,0.0,-0.11939424154247733,-0.11921065831768395,-0.11921065831768395,-0.11921065831768395,-0.00018358322479338,-0.00018358322479338,-0.00018358322479338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036845962334843456,0.0,0.0,0.0,0.0036845962334843456,0.0,0.0,0.0,0.0,0.0,0.007369192466968691,0.0,-0.11921065831768395,-0.12657985078465264,-0.00018358322479338,-0.00018358322479338,0.15029052219457179,0.2598595273593621,0.0017575018321411284,0.027935375864846256,-0.12676343400944604,0.007369192466968691,-0.11939424154247734
6.0,120.0,139.0,0.12000000000000001,20.0,0.15026899947060837,0.0025504361176412497,0.002140134147547246,0.05096406678635,9.014823151828106e-05,1.1023135081103118e-07,0.02935637187690677,0.65,,,-1.936177083767919e-08,-0.00024254324779475226,,,,,,,9.014823151828106e-05,1.1023135081103118e-07,,,2.0,2.0,0.0,1.0,1.0,1.0,-0.11877958884287709,-0.11851219497283452,-0.11851219497283452,-0.11851219497283452,-0.0002673938700425789,-0.0002673938700425789,-0.0002673938700425789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043518056650759685,0.0,0.0,0.0,0.0043518056650759685,0.0,0.0,0.0,0.0,0.0,0.008703611330151937,0.0,-0.11851219497283452,-0.12721580630298646,-0.0002673938700425789,-0.0002673938700425789,0.1502717347275727,0.3040103488963641,0.002498787840323968,0.0335667753036034,-0.12748320017302903,0.008703611330151937,-0.11877958884287709
7.0,140.0,159.0,0.14,20.0,0.15016900827867527,0.0034398411255139216,0.0041683647585032515,0.059649267408871665,5.60717430545049e-05,9.482958021227814e-08,0.029494492553824518,0.65,,,-7.379519086390309e-08,-0.000331967912750927,,,,,,,5.60717430545049e-05,9.482958021227814e-08,,,0.0,2.0,2.0,1.0,1.0,1.0,-0.11912609427939808,-0.11875405507423613,-0.11875405507423613,-0.11875405507423613,-0.00037203920516194647,-0.00037203920516194647,-0.00037203920516194647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003957696345461507,0.0,0.0,0.0,0.003957696345461507,0.0,0.0,0.0,0.0,0.0,0.007915392690923014,0.0,-0.11875405507423613,-0.12666944776515915,-0.00037203920516194647,-0.00037203920516194647,0.15017525243581292,0.279980179026163,0.0033810729037340613,0.04003412874517971,-0.12704148697032108,0.007915392690923014,-0.11912609427939808
8.0,160.0,179.0,0.16,20.0,0.15001482813319347,0.00446518920576509,0.006885199860740904,0.0684572950157409,0.00010396068992194042,1.3372004347485554e-07,0.029708558696171214,0.65,,,-2.027956560833463e-07,-0.00043680223848573623,,,,,,,0.00010396068992194042,1.3372004347485554e-07,,,2.0,2.0,0.0,1.0,1.0,1.0,-0.11831581179133167,-0.11781732637682776,-0.11781732637682776,-0.11781732637682776,-0.0004984854145039136,-0.0004984854145039136,-0.0004984854145039136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046618264793684095,0.0,0.0,0.0,0.0046618264793684095,0.0,0.0,0.0,0.0,0.0,0.009323652958736819,0.0,-0.11781732637682776,-0.1271409793355646,-0.0004984854145039136,-0.0004984854145039136,0.1500249143444654,0.32784624143191526,0.004399224167781335,0.046673231065461465,-0.12763946475006852,0.009323652958736819,-0.1183158117913317
9.0,180.0,199.0,0.18,20.0,0.14974990079497036,0.005638341847623056,0.010204624630624262,0.0775770472514606,5.756998336191591e-05,1.1712956470409592e-07,0.030079500879461745,0.65,,,-4.5101032479920446e-07,-0.0005602632803776606,,,,,,,5.756998336191591e-05,1.1712956470409592e-07,,,0.0,2.0,2.0,1.0,1.0,1.0,-0.11847043623816682,-0.11781839856543576,-0.11781839856543576,-0.11781839856543576,-0.0006520376727310573,-0.0006520376727310573,-0.0006520376727310573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004259003267981676,0.0,0.0,0.0,0.004259003267981676,0.0,0.0,0.0,0.0,0.0,0.008518006535963352,0.0,-0.11781839856543576,-0.1263364051013991,-0.0006520376727310573,-0.0006520376727310573,0.14976516552700175,0.3041342074470725,0.005564889099368175,0.05382361469631899,-0.12698844277413016,0.008518006535963352,-0.1184704362381668
