interval_id,interval_start_step_idx,interval_end_step_idx,interval_t_start_sec,interval_n_steps,L_e_pendulum_angle,L_e_cart_position,L_edot_pendulum_angle,L_edot_cart_position,L_delta_u_pendulum_angle,L_delta_u_cart_position,principal_gate_L_edot_pendulum_angle,principal_gate_L_edot_cart_position,principal_gate_L_delta_u_pendulum_angle,principal_gate_L_delta_u_cart_position,principal_contribution_L_edot_pendulum_angle,principal_contribution_L_edot_cart_position,principal_contribution_L_delta_u_pendulum_angle,principal_contribution_L_delta_u_cart_position,error_pendulum_angle_mean_squared,error_cart_position_mean_squared,derivative_error_pendulum_angle_mean_squared,derivative_error_cart_position_mean_squared,delta_u_eff_pendulum_angle_mean_squared,delta_u_eff_cart_position_mean_squared,integral_error_pendulum_angle_mean_squared,integral_error_cart_position_mean_squared,action_kp_pendulum_angle,action_ki_pendulum_angle,action_kd_pendulum_angle,action_kp_cart_position,action_ki_cart_position,action_kd_cart_position,global_interval_reward,reward_kp_pendulum_angle,reward_ki_pendulum_angle,reward_kd_pendulum_angle,reward_kp_cart_position,reward_ki_cart_position,reward_kd_cart_position,extra_penalty_instantaneous_pendulum_angle,extra_penalty_instantaneous_cart_position,extra_penalty_pendulum_angle,extra_penalty_cart_position,extra_bonus_goal_pendulum_angle,extra_bonus_goal_cart_position,extra_bonus_band_pendulum_angle,extra_bonus_band_cart_position,extra_conditional_dynamic_penalty_pendulum_angle,extra_conditional_dynamic_penalty_cart_position,extra_conditional_dynamic_incentive_pendulum_angle,extra_conditional_dynamic_incentive_cart_position,extra_conditional_dynamic_incentive_tracking_pendulum_angle,extra_conditional_dynamic_incentive_tracking_cart_position,extra_conditional_dynamic_incentive_capture_pendulum_angle,extra_conditional_dynamic_incentive_capture_cart_position,extra_conditional_dynamic_incentive_direction_pendulum_angle,extra_conditional_dynamic_incentive_direction_cart_position,extra_conditional_dynamic_incentive_effort_pendulum_angle,extra_conditional_dynamic_incentive_effort_cart_position,extra_total_pendulum_angle,extra_total_cart_position,coordination_task_potential,coordination_task_progress_delta,coordination_task_progress_positive,coordination_reward_total,coordination_credit_raw_pendulum_angle,coordination_credit_raw_cart_position,coordination_credit_share_pendulum_angle,coordination_credit_share_cart_position,extra_conditional_coordination_bonus_pendulum_angle,extra_conditional_coordination_bonus_cart_position,assigned_reward_pendulum_angle,principal_loop_pendulum_angle,assigned_reward_cart_position,principal_loop_cart_position,mean_abs_error_pendulum_angle,mean_abs_control_action_pendulum_angle,mean_abs_error_cart_position,mean_abs_control_action_cart_position,principal_total_rebuilt,extras_total_rebuilt,global_reward_rebuilt
0.0,0.0,19.0,0.0,20.0,0.14994423376251378,2.012266210823271e-05,0.0023570393458366822,0.003212811004039039,0.0017597132249501594,5.387086807643913e-08,0.02980701699568558,0.65,,,-2.384583311657396e-08,-9.661446902091698e-07,,,,,,,0.0017597132249501594,5.387086807643913e-08,,,2.0,2.0,0.0,0.0,0.0,1.0,-0.11964683053512669,-0.11964579012734247,-0.11964579012734247,-0.11964579012734247,-1.0404077842175453e-06,-1.0404077842175453e-06,-1.0404077842175453e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002723568420914882,0.0,0.0,0.0,0.002723568420914882,0.0,0.0,0.0,0.0,0.0,0.005447136841829764,0.0,0.15553420677449772,0.0,0.0,0.0,0.02873609050466498,5.06134486816114e-08,0.9999978906900776,1.7613162066685929e-06,0.0,0.0,-0.11964579012734247,-0.12509292696917224,-1.0404077842175453e-06,-1.0404077842175453e-06,0.14244505668054344,0.18185610231795374,1.263788126738552e-05,0.0019545413053391482,-0.12509396737695647,0.005447136841829764,-0.1196468305351267
1.0,20.0,39.0,0.02,20.0,0.15005434018293942,0.00012113876143787918,0.004588105085872927,0.00968725013393842,6.896394727660512e-05,9.244921377967414e-08,0.029653572924012987,0.65,,,-8.98872316981502e-08,-8.782945683141198e-06,,,,,,,6.896394727660512e-05,9.244921377967414e-08,,,2.0,2.0,0.0,1.0,1.0,1.0,-0.11920170704052481,-0.11919222041908543,-0.11919222041908543,-0.11919222041908543,-9.48662143937118e-06,-9.48662143937118e-06,-9.48662143937118e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003344821501880492,0.0,0.0,0.0,0.003344821501880492,0.0,0.0,0.0,0.0,0.0,0.006689643003760984,0.0,0.16445083416418865,-0.008916627389690929,0.0,0.0,0.03532011131653311,9.388952029230683e-07,0.9999731351438139,2.658173897654137e-05,0.0,0.0,-0.11919222041908543,-0.1258818634228464,-9.48662143937118e-06,-9.48662143937118e-06,0.15004745707919273,0.2332794676276085,0.00010506330643089701,0.0073333777844261485,-0.12589135004428578,0.006689643003760984,-0.1192017070405248
2.0,40.0,59.0,0.04,20.0,0.15018405062849874,0.00034076452194862746,0.003631231484123518,0.017822518897144694,7.03469156659405e-05,1.3345368431156423e-07,0.02947367856033214,0.65,,,-5.5962814946097556e-08,-2.972281012684475e-05,,,,,,,7.03469156659405e-05,1.3345368431156423e-07,,,2.0,2.0,0.0,1.0,0.0,1.0,-0.1188250660987049,-0.11879280854843306,-0.11879280854843306,-0.11879280854843306,-3.225755027184663e-05,-3.225755027184663e-05,-3.225755027184663e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00394172377921517,0.0,0.0,0.0,0.00394172377921517,0.0,0.0,0.0,0.0,0.0,0.00788344755843034,0.0,0.1719785655317156,-0.007527731367526935,0.0,0.0,0.04166182435219602,4.922418674162588e-06,0.9998816222078122,0.0001181377927068209,0.0,0.0,-0.11879280854843306,-0.1266762561068634,-3.225755027184663e-05,-3.225755027184663e-05,0.15017875357212246,0.2753231835577966,0.0003165058937730003,0.01399328427743313,-0.12670851365713523,0.00788344755843034,-0.11882506609870488
3.0,60.0,79.0,0.06,20.0,0.15022642954566695,0.0007031503270064078,0.0021714859139866797,0.02740775499271631,8.027383662785198e-05,1.8317878942431526e-07,0.02941510691554449,0.65,,,-1.9973083302573916e-08,-7.026340571621726e-05,,,,,,,8.027383662785198e-05,1.8317878942431526e-07,,,2.0,2.0,1.0,1.0,0.0,1.0,-0.1183227080026464,-0.11824597334019203,-0.11824597334019203,-0.11824597334019203,-7.673466245434835e-05,-7.673466245434835e-05,-7.673466245434835e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004553738873808863,0.0,0.0,0.0,0.004553738873808863,0.0,0.0,0.0,0.0,0.0,0.009107477747617726,0.0,0.18050882077937636,-0.008530255247660767,0.0,0.0,0.04825474479717441,1.5750548943880525e-05,0.9996734952569717,0.0003262975771838924,0.0,0.0,-0.11824597334019203,-0.12735345108780977,-7.673466245434835e-05,-7.673466245434835e-05,0.15022803519323746,0.3190438539450909,0.0006697855554092302,0.021889838806439472,-0.1274301857502641,0.009107477747617726,-0.11832270800264638
4.0,80.0,99.0,0.08,20.0,0.15007493783244177,0.00123107488925485,0.009644693425595428,0.03840434033019339,8.306206353416899e-05,2.398616904448535e-07,0.029624943451300925,0.65,,,-3.967898178130258e-07,-0.00013786693204626357,,,,,,,8.306206353416899e-05,2.398616904448535e-07,,,2.0,2.0,1.0,1.0,1.0,1.0,-0.11758475600236676,-0.11743303567090309,-0.11743303567090309,-0.11743303567090309,-0.00015172033146366374,-0.00015172033146366374,-0.00015172033146366374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051382620697425045,0.0,0.0,0.0,0.0051382620697425045,0.0,0.0,0.0,0.0,0.0,0.010276524139485009,0.0,0.19935504647748545,-0.018846225698109093,0.0,0.0,0.05474473438194808,3.89093108390155e-05,0.9992895816869523,0.0007102357768470335,0.0,0.0,-0.11743303567090309,-0.1277095598103881,-0.00015172033146366374,-0.00015172033146366374,0.15008871698680548,0.36263206029528616,0.001187538536562871,0.031036268300439197,-0.12786128014185175,0.010276524139485009,-0.11758475600236673
5.0,100.0,119.0,0.1,20.0,0.14962923355403146,0.0019456198674966468,0.02070215739422517,0.0505965553801567,5.7092291943562256e-05,2.8901629439192705e-07,0.030249766843668077,0.65,,,-1.8661572226506052e-06,-0.00023906583540414154,,,,,,,5.7092291943562256e-05,2.8901629439192705e-07,,,2.0,0.0,1.0,1.0,1.0,1.0,-0.11660075966382587,-0.11633526533730107,-0.11633526533730107,-0.11633526533730107,-0.00026549432652480656,-0.00026549432652480656,-0.00026549432652480656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005563284960573677,0.0,0.0,0.0,0.005563284960573677,0.0,0.0,0.0,0.0,0.0,0.011126569921147354,0.0,0.22287356619590998,-0.02351851971842453,0.0,0.0,0.05979077890549408,8.153370027197217e-05,0.9986380401373619,0.0013617928405556794,0.0,0.0,-0.11633526533730107,-0.12746183525844842,-0.00026549432652480656,-0.00026549432652480656,0.1496596991425953,0.3979157864179079,0.0018910776168571176,0.04129797342971574,-0.12772732958497324,0.011126569921147354,-0.11660075966382588
6.0,120.0,139.0,0.12000000000000001,20.0,0.14880590006074812,0.002864124498519453,0.03463133295290792,0.06386691170114328,8.747880123914738e-05,3.510096785460375e-07,0.03143371115631405,0.65,,,-5.422853528126005e-06,-0.00038039458422256935,,,,,,,8.747880123914738e-05,3.510096785460375e-07,,,2.0,2.0,1.0,1.0,1.0,1.0,-0.11507662328556122,-0.11464970387125098,-0.11464970387125098,-0.11464970387125098,-0.00042691941431023195,-0.00042691941431023195,-0.00042691941431023195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006010310564524684,0.0,0.0,0.0,0.006010310564524684,0.0,0.0,0.0,0.0,0.0,0.012020621129049369,0.0,0.25016826921331875,-0.027294703017408772,0.0,0.0,0.06552881087286216,0.00015245260693448373,0.9976787507480138,0.002321097001588705,0.0,0.0,-0.11464970387125098,-0.12667032500030034,-0.00042691941431023195,-0.00042691941431023195,0.14885709908773945,0.43836837188570554,0.002797817315159612,0.052565223196639164,-0.12709724441461057,0.012020621129049369,-0.1150766232855612
7.0,140.0,159.0,0.14,20.0,0.1475551195760141,0.0039958833983150185,0.047620765881345006,0.076735069951702,9.014613433145182e-05,2.7325608839941245e-07,0.03330808211890905,0.65,,,-1.0854724188499088e-05,-0.0005482317065591116,,,,,,,9.014613433145182e-05,2.7325608839941245e-07,,,0.0,0.0,1.0,1.0,1.0,1.0,-0.1141107694950196,-0.1134870829644165,-0.1134870829644165,-0.1134870829644165,-0.0006236865306031206,-0.0006236865306031206,-0.0006236865306031206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005297645276126781,0.0,0.0,0.0,0.005297645276126781,0.0,0.0,0.0,0.0,0.0,0.010595290552253563,0.0,0.27590683880737615,-0.025738569594057403,0.0,0.0,0.05845006611459071,0.00025721238944664707,0.9956185612382871,0.004381268425111447,0.0,0.0,-0.1134870829644165,-0.12408237351667006,-0.0006236865306031206,-0.0006236865306031206,0.14762583021911263,0.39832283868265184,0.003918745546180791,0.06383640342797883,-0.12470606004727318,0.010595290552253563,-0.11411076949501961
8.0,160.0,179.0,0.16,20.0,0.1459523490737721,0.005324130631530063,0.05941281743741856,0.08901214996359508,9.086231758949005e-05,3.2270745503133687e-07,0.035848581467323976,0.65,,,-1.8164179521820018e-05,-0.0007363447994033644,,,,,,,9.086231758949005e-05,3.2270745503133687e-07,,,2.0,2.0,1.0,1.0,1.0,1.0,-0.11162247635927446,-0.11077092748482566,-0.11077092748482566,-0.11077092748482566,-0.0008515488744488145,-0.0008515488744488145,-0.0008515488744488145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005631105842136478,0.0,0.0,0.0,0.005631105842136478,0.0,0.0,0.0,0.0,0.0,0.011262211684272955,0.0,0.2997014471063158,-0.023794608298939646,0.0,0.0,0.06369820799487091,0.00040051930750380075,0.9937513697716951,0.006248474218991556,0.0,0.0,-0.11077092748482566,-0.12203313916909861,-0.0008515488744488145,-0.0008515488744488145,0.14604036383001867,0.4344608306719794,0.0052370299025283566,0.07462945067349883,-0.12288468804354742,0.011262211684272955,-0.11162247635927447
9.0,180.0,199.0,0.18,20.0,0.14397315100689737,0.006853006455855731,0.07174060569022887,0.10141971399535427,2.1707183181628616e-06,1.9646578541632263e-05,0.0392112372805557,0.65,,,-2.8926307506754696e-05,-0.0009539077853906651,,,,,,,2.1707183181628616e-06,1.9646578541632263e-05,,,1.0,2.0,1.0,1.0,0.0,2.0,-0.10920381044213169,-0.10803780922588255,-0.10803780922588255,-0.10803780922588255,-0.0011660012162491402,-0.0011660012162491402,-0.0011660012162491402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005448513874854572,0.0,0.0,0.0,0.005448513874854572,0.0,0.0,0.0,0.0,0.0,0.010897027749709144,0.0,0.3239864771483362,-0.024285030042020428,0.0,0.0,0.06334178193687365,0.0007298324645141994,0.9886089595615374,0.011390884363131435,0.0,0.0,-0.10803780922588255,-0.11893483697559169,-0.0011660012162491402,-0.0011660012162491402,0.14407930845900296,0.4397664648331297,0.00675584571262251,0.10488691249285893,-0.12010083819184084,0.010897027749709144,-0.10920381044213169
