t_sec,cart_position_raw,cart_velocity_raw,pendulum_angle_raw,pendulum_velocity_raw,cart_position_norm,cart_velocity_norm,pendulum_angle_norm,pendulum_velocity_norm,cart_force,u_total,u_total_raw,is_saturated_global,delta_u_total,error_pendulum_angle,error_cart_position,delta_error_pendulum_angle,delta_error_cart_position,derivative_error_pendulum_angle,derivative_error_cart_position,integral_error_pendulum_angle,integral_error_cart_position,control_action_pendulum_angle,control_action_cart_position,delta_control_action_pendulum_angle,delta_control_action_cart_position,u_eff_pendulum_angle,u_eff_cart_position,delta_u_eff_pendulum_angle,delta_u_eff_cart_position,kp_pendulum_angle,kp_cart_position,ki_pendulum_angle,ki_cart_position,kd_pendulum_angle,kd_cart_position,global_reward_per_step,assigned_reward_per_step_pendulum_angle,assigned_reward_per_step_cart_position,episode_id
0.0,0.0,0.0,0.15700000000000003,0.0,0.0,0.0,0.14992360580595876,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
0.001,5.959551202964286e-07,0.0011919102508954466,0.1570001783005921,0.00035660089096437833,1.1919102393953551e-07,0.00014898878136193616,0.14992377607008422,8.915022274114115e-05,7.503676470588236,0.1875919117647059,0.1875919117647059,False,0.1875919117647059,0.14992360580595876,0.0,0.14992360580595876,0.0,0.0,0.0,0.00014992360580595875,0.0,0.1875919117647059,0.0,0.1875919117647059,0.0,0.1875919117647059,0.0,0.1875919117647059,0.0,1.25,0.75,1.25,0.75,0.75,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
0.002,2.3845999070701485e-06,0.0023853802660561453,0.15700071243729807,0.0007116657876901266,4.769199812848512e-07,0.00029817253325692405,0.1499242861318737,0.00017791644692244368,7.511517876097941,0.18778794690244854,0.18778794690244854,False,0.00019603513774263392,0.14992377607008422,-1.1919102393953551e-07,1.7026412546528036e-07,-1.1919102393953551e-07,0.00017026412546528036,-0.00011919102393953551,0.00029984738187604294,-1.191910239395355e-10,0.1879072274090493,-0.00011928050660075811,0.00031531564434339465,-0.00011928050660075811,0.1879072274090493,-0.00011928050660075811,0.00031531564434339465,-0.00011928050660075811,1.25,0.75,1.25,0.75,0.75,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
0.003,5.36752621513039e-06,0.0035804736512416177,0.15700160084240267,0.0010651343325268447,1.0735052431432024e-06,0.00044755920640526803,0.14992513449427292,0.0002662835831317434,7.519681259901645,0.18799203149754115,0.18799203149754115,False,0.00020408459509260735,0.1499242861318737,-4.769199812848512e-07,5.100617894715498e-07,-3.5772895734531573e-07,0.0005100617894715498,-0.00035772895734531573,0.00044977166800791663,-5.961110052243868e-10,0.1883501185919557,-0.0003580870944145333,0.0004428911829063853,-0.00023880658781377518,0.1883501185919557,-0.0003580870944145333,0.0004428911829063853,-0.00023880658781377518,1.25,0.75,1.25,0.75,0.75,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
0.004,9.546352363495869e-06,0.00477718020845869,0.15700284192625924,0.0014170200646567688,1.909270472832958e-06,0.0005971475260573289,0.14992631963928504,0.0003542550161641511,7.527796771095223,0.18819491927738058,0.18819491927738058,False,0.00020288777983942796,0.14992513449427292,-1.0735052431432024e-06,8.483623992194822e-07,-5.965852618583511e-07,0.0008483623992194822,-0.0005965852618583511,0.0005996968025021895,-1.6696162483675892e-09,0.18879231092038348,-0.0005973916430028948,0.0004421923284277929,-0.0002393045485883615,0.18879231092038348,-0.0005973916430028948,0.0004421923284277929,-0.0002393045485883615,1.25,0.75,1.25,0.75,0.75,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
0.005,1.492268637044956e-05,0.005975489556003719,0.15700443411292175,0.0017673367114414513,2.9845372739867315e-06,0.0007469361945005026,0.14992784006199567,0.00044183417786025636,7.535863493766792,0.1883965873441698,0.1883965873441698,False,0.000201668066789229,0.14992631963928504,-1.909270472832958e-06,1.1851450121280749e-06,-8.357652296897555e-07,0.0011851450121280749,-0.0008357652296897555,0.0007496231221414746,-3.5788867212005473e-09,0.18923378721087922,-0.0008371998667094212,0.0004414762904957348,-0.00023980822370652639,0.18923378721087922,-0.0008371998667094212,0.0004414762904957348,-0.00023980822370652639,1.25,0.75,1.25,0.75,0.75,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
0.006,2.149812591246028e-05,0.007175391394120071,0.15700637584013233,0.0021160979061393965,4.299625182557776e-06,0.0008969239242651028,0.1499296942705619,0.0005290244765348007,7.543881827461507,0.18859704568653768,0.18859704568653768,False,0.00020045834236787075,0.14992784006199567,-2.9845372739867315e-06,1.5204227106213608e-06,-1.0752668011537736e-06,0.0015204227106213608,-0.0010752668011537736,0.0008995509622034703,-6.563423995187279e-09,0.18967455581321493,-0.00107751012667726,0.00044076860233571713,-0.0002403102599678389,0.18967455581321493,-0.00107751012667726,0.00044076860233571713,-0.0002403102599678389,1.25,0.75,1.25,0.75,0.75,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
0.007,2.9274258407582283e-05,0.00837687550545448,0.15700866555921822,0.0024633171857506887,5.854851681474926e-06,0.0010471094381818702,0.14993188078611364,0.0006158292964377754,7.551852172349299,0.18879630430873248,0.18879630430873248,False,0.0001992586221948034,0.1499296942705619,-4.299625182557776e-06,1.8542085662431873e-06,-1.3150879085710443e-06,0.0018542085662431873,-0.0013150879085710443,0.0010494806564740322,-1.0863049177745055e-08,0.19011462508347732,-0.001318320774744846,0.0004400692702623832,-0.00024081064806758586,0.19011462508347732,-0.001318320774744846,0.0004400692702623832,-0.00024081064806758586,1.25,0.75,1.25,0.75,0.75,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
0.008,3.8252661098197804e-05,0.00957993175453943,0.15701130173499145,0.0028090079912091973,7.650532219738437e-06,0.0011974914693173577,0.14993439814265797,0.0007022519978023833,7.55977492567636,0.188994373141909,0.188994373141909,False,0.00019806883317652346,0.14993188078611364,-5.854851681474926e-06,2.1865155517275525e-06,-1.5552264989171505e-06,0.0021865155517275525,-0.0015552264989171505,0.0011994125372601458,-1.671790085921998e-08,0.1905540033180129,-0.001559630176103901,0.0004393782345355757,-0.00024130940135905503,0.1905540033180129,-0.001559630176103901,0.0004393782345355757,-0.00024130940135905503,1.25,0.75,1.25,0.75,0.75,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
0.009000000000000001,4.843490113124977e-05,0.010784550087031523,0.15701428284566177,0.003153183668993115,9.686980226408792e-06,0.0013480687608788955,0.14993724488699556,0.0007882959172482717,7.567650481682791,0.1891912620420698,0.1891912620420698,False,0.00019688890016078542,0.14993439814265797,-7.650532219738437e-06,2.5173565443292745e-06,-1.795680538263511e-06,0.0025173565443292745,-0.001795680538263511,0.0013493469354028038,-2.436843307895842e-08,0.19099269875582292,-0.001801436713753124,0.0004386954378100272,-0.0002418065376492231,0.19099269875582292,-0.001801436713753124,0.0004386954378100272,-0.0002418065376492231,1.25,0.75,1.25,0.75,0.75,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
0.010000000000000002,5.9822535640034284e-05,0.011990720529316084,0.1570176073827363,0.003495857471048378,1.1964507127926183e-05,0.0014988400661644086,0.14994041957862514,0.0008739643677619924,7.575479232156033,0.18938698080390082,0.18938698080390082,False,0.00019571876183102632,0.14993724488699556,-9.686980226408792e-06,2.846744337592355e-06,-2.036448006670355e-06,0.002846744337592355,-0.002036448006670355,0.0014992841802897994,-3.405541330536721e-08,0.19143071958730096,-0.0020437387834001406,0.0004380208314780365,-0.00024230206964701646,0.19143071958730096,-0.0020437387834001406,0.0004380208314780365,-0.00024230206964701646,1.25,0.75,1.25,0.75,0.75,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
0.011000000000000003,7.241711182433738e-05,0.013198433187872605,0.1570212738509289,0.0038370425556805594,1.4483422364985898e-05,0.0016498041484840353,0.14994392078965713,0.0009592606389201563,7.5832615659399805,0.1895815391484995,0.1895815391484995,False,0.00019455834459869426,0.14994041957862514,-1.1964507127926183e-05,3.1746916295816163e-06,-2.2775269015173905e-06,0.0031746916295816163,-0.0022775269015173905,0.0016492245998684246,-4.601992043329339e-08,0.19186807394530317,-0.00228653479680366,0.0004373543580022121,-0.0002427960134035196,0.19186807394530317,-0.00228653479680366,0.0004373543580022121,-0.0002427960134035196,1.25,0.75,1.25,0.75,0.75,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
0.012000000000000004,8.622016703082604e-05,0.014407678248769703,0.15702528076806033,0.0041767519879432995,1.7244033406083048e-05,0.0018009597810961786,0.1499477471047177,0.0010441879969858014,7.590997869221734,0.18977494673054338,0.18977494673054338,False,0.0001934075820438641,0.14994392078965713,-1.4483422364985898e-05,3.5012110319865286e-06,-2.5189152370597157e-06,0.0035012110319865286,-0.0025189152370597157,0.0017991685206580816,-6.050334279827928e-08,0.19230476991188392,-0.0025298231813405537,0.00043669596658074683,-0.00024328838453689357,0.19230476991188392,-0.0025298231813405537,0.00043669596658074683,-0.00024328838453689357,1.25,0.75,1.25,0.75,0.75,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
0.013000000000000005,0.00010123322883137517,0.015618445977009005,0.15702962666497422,0.00451499874079513,2.024664576638635e-05,0.0019523057471260152,0.14995189712086932,0.0011287496851988266,7.598688525373869,0.18996721313434672,0.18996721313434672,False,0.00019226640380334836,0.1499477471047177,-1.7244033406083048e-05,3.826315060573293e-06,-2.7606110410971496e-06,0.003826315060573293,-0.0027606110410971496,0.0019491162677627992,-7.774737620436233e-08,0.1927408155110306,-0.002773602376683865,0.00043604559914667274,-0.00024377919534331136,0.1927408155110306,-0.002773602376683865,0.00043604559914667274,-0.00024377919534331136,1.25,0.75,1.25,0.75,0.75,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
0.014000000000000005,0.00011745781510211101,0.016830726716033032,0.15703431008544122,0.004851795695529664,2.349156302039468e-05,0.002103840839504212,0.14995636944751833,0.001212948923882351,7.60633391523035,0.19015834788075878,0.19015834788075878,False,0.00019113474641205275,0.14995189712086932,-2.024664576638635e-05,4.150016151616143e-06,-3.002612360303303e-06,0.004150016151616143,-0.003002612360303303,0.0020990681648836687,-9.799402197074868e-08,0.19317621872090335,-0.0030178708401445704,0.00043540320987275893,-0.0002442684634607053,0.19317621872090335,-0.0030178708401445704,0.00043540320987275893,-0.0002442684634607053,1.25,0.75,1.25,0.75,0.75,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
0.015000000000000006,0.00013489543410215386,0.01804451088720623,0.15703932958606526,0.00518715564222491,2.697908682036676e-05,0.0022555638609007556,0.14996116270632665,0.0012967889105561792,7.613934416944543,0.19034836042361358,0.19034836042361358,False,0.00019001254285480607,0.14995636944751833,-2.349156302039468e-05,4.472326649018754e-06,-3.244917254008328e-06,0.004472326649018754,-0.003244917254008328,0.002249024534331187,-1.2148558499114335e-07,0.19361098746407596,-0.0032626270404623675,0.00043476874317260883,-0.0002447562003177971,0.19361098746407596,-0.0032626270404623675,0.00043476874317260883,-0.0002447562003177971,1.25,0.75,1.25,0.75,0.75,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
0.016000000000000007,0.0001535475845500859,0.019259788989166117,0.1570446837361983,0.005521091280873885,3.070951691008794e-05,0.002407473623645684,0.14996627553112907,0.0013802728202185754,7.621490405873891,0.19053726014684727,0.19053726014684727,False,0.00018889972323368753,0.14996116270632665,-2.697908682036676e-05,4.793258808311052e-06,-3.487523799972081e-06,0.004793258808311052,-0.003487523799972081,0.002398985697037514,-1.484646718115101e-07,0.1940451296104385,-0.0035078694635912147,0.0004341421463625317,-0.0002452424231288472,0.1940451296104385,-0.0035078694635912147,0.0004341421463625317,-0.0002452424231288472,1.25,0.75,1.25,0.75,0.75,1.0,-0.005982341526756334,-0.005982289506367124,-5.202038921087726e-08,1567
